省名,站名,站名简码
广东,珠海北,ZHB
广东,坂田,BTI
广东,琥市,HSH
广东,畲江,SJI
广东,鲘门,HME
广西,八渡,BDU
广西,百浪,BLA
广西,百里村,BLC
广西,百色,BSE
广西,板其,BQI
广西,板桃,BTA
广西,北海,BHA
广西,北流,BLI
广西,长岗岭,CGL
广西,程村,CCU
广西,崇左,CZU
广西,大岭,DLI
广西,大拟,DNI
广西,大溶江,DRJ
广西,大王滩,DWT
广西,大元,DYU
广西,德胜,DSH
广西,防城,FCH
广西,防城港,FCG
广西,防城港北,FCB
广西,凤凰,FHU
广西,扶绥,FSU
广西,富川,FCH
广西,根龙,GLO
广西,古砦,GZH
广西,桂林,GLI
广西,桂林北,GLB
广西,桂平,GPI
广西,贵港,GGA
广西,合浦,HPU
广西,河唇,HCH
广西,贺州,HZH
广西,黄沙河,HSH
广西,江西村,JXC
广西,金城江,JCJ
广西,金鸡村,JJC
广西,井头墟,JTX
广西,康熙岭,KXL
广西,来宾,LBI
广西,来宾北,LBB
广西,蓝家村,LJC
广西,老堡,LBA
广西,黎塘,LTA
广西,黎塘西,LTX
广西,伶俐,LLI
广西,柳城,LCH
广西,柳州,LZH
广西,柳州南,LZN
广西,柳州直销,LZX
广西,龙伯屯,LBT
广西,隆安,LAN
广西,鹿寨,LZH
广西,鹿寨北,LZB
广西,潞城乡,LCX
广西,陆川,LCH
广西,洛东,LDO
广西,洛满,LMA
广西,马皇,MHU
广西,马路圩,MLX
广西,茅岭,MLI
广西,庙头,MTO
广西,那罗,NLU
广西,那铺,NPU
广西,南丹,NDA
广西,南宁,NNI
广西,南宁东,NND
广西,宁村,NCU
广西,宁明,NMI
广西,平果,PGU
广西,平林村,PLC
广西,平南南,PNN
广西,凭祥,PXI
广西,钦州,QZH
广西,钦州东,QZD
广西,渠旧,QJI
广西,渠黎,QLI
广西,全州,QZH
广西,全州南,QZN
广西,融安,RAN
广西,融水,RSH
广西,容县,RXI
广西,三江县,SJX
广西,绍水,SSH
广西,双蒙,SME
广西,太阳村,TYC
广西,塘库,TKU
广西,藤县,TXI
广西,天西,TXI
广西,田丁,TDI
广西,田东,TDO
广西,田林,TLI
广西,田阳,TYA
广西,亭亮,TLI
广西,汪甸,WDI
广西,文地,WDI
广西,梧州,WZH
广西,梧州南,WZN
广西,吴圩,WXU
广西,下塘,XTA
广西,夏石,XSH
广西,小董,XDO
广西,兴安,XAN
广西,兴安北,XAB
广西,兴业,XYE
广西,牙屯堡,YTP
广西,严关乡,YGX
广西,叶茂,YMA
广西,宜州,YZH
广西,永福,YFU
广西,永福南,YFN
广西,永乐,YLE
广西,玉林,YLI
广西,寨隆,ZLO
广西,钟山,ZSH
广西,岑溪,CXI
广西,泗亭,STI
广西,濑湍,LTU
贵州,安龙,ALO
贵州,安顺,ASH
贵州,白鸡坡,BJP
贵州,白水河,BSH
贵州,柏果,BGU
贵州,宝老山,BLS
贵州,曹家湾,CJW
贵州,草海,CHA
贵州,册亨,CHE
贵州,岔江,CJI
贵州,昌明,CMI
贵州,茨冲,CCH
贵州,从江,CJI
贵州,打括,DKU
贵州,打羊,DYA
贵州,大河坝,DHB
贵州,大湾,DWA
贵州,都格,DGE
贵州,都匀,DYU
贵州,都匀东,DYD
贵州,独山,DSH
贵州,二道岩,EDY
贵州,发耳,FER
贵州,峰洞,FDO
贵州,福泉,FQU
贵州,高峰,GFE
贵州,高炉子,GLZ
贵州,高坪铺,GPP
贵州,革居,GJU
贵州,关寨,GZH
贵州,贵定,GDI
贵州,贵定南,GDN
贵州,贵阳,GYA
贵州,贵阳北,GYB
贵州,贵阳东,GYD
贵州,贵阳西,GYX
贵州,河阳,HYA
贵州,红果,HGU
贵州,红花园,HHY
贵州,湖潮,HCH
贵州,花家庄,HJZ
贵州,花土坡,HTP
贵州,化处,HCH
贵州,黄平,HPI
贵州,黄丝,HSI
贵州,黄桶,HTO
贵州,汇塘河,HTH
贵州,鸡场坡,JCP
贵州,加劳,JLA
贵州,蕉溪,JXI
贵州,金钟,JZH
贵州,九龙塘,JLT
贵州,开阳,KYA
贵州,凯里,KLI
贵州,滥坝,LBA
贵州,老锅厂,LGC
贵州,老王洞,LWD
贵州,李家湾,LJW
贵州,李子沟,LZG
贵州,凉风垭,LFY
贵州,凉水井,LSJ
贵州,两所屯,LST
贵州,六个鸡,LGJ
贵州,六盘水,LPS
贵州,六盘水南,LPN
贵州,六枝,LZH
贵州,龙广,LGU
贵州,龙里,LLI
贵州,龙里北,LLB
贵州,娄山关,LSG
贵州,鲁番,LFA
贵州,麻江,MJI
贵州,麻尾,MWE
贵州,马场,MCH
贵州,马嘎,MGA
贵州,茅草坪,MCP
贵州,么铺,YPU
贵州,梅花山,MHS
贵州,蒙渡,MDU
贵州,墨冲,MCH
贵州,木竹河,MZH
贵州,那玉,NYU
贵州,南江,NJI
贵州,盘关,PGU
贵州,品甸,PDI
贵州,平坝,PBA
贵州,平关,PGU
贵州,平田,PTI
贵州,葡萄菁,PTQ
贵州,普定,PDI
贵州,青溪,QXI
贵州,清水沟,QSG
贵州,清水河西,QSX
贵州,三都县,SDX
贵州,三家寨,SJZ
贵州,三江农场,SJC
贵州,三元坝,SYB
贵州,沙厂坪,SCP
贵州,沙沱,STU
贵州,上西铺,SXP
贵州,施秉,SBI
贵州,石板哨,SBS
贵州,石丫口,SYK
贵州,双水,SSH
贵州,水城,SCH
贵州,水花,SHU
贵州,松坝,SBA
贵州,松河,SHE
贵州,松坎,SKA
贵州,松桃,STA
贵州,太白,TBA
贵州,天龙,TLO
贵州,桐木寨,TMZ
贵州,桐梓,TZI
贵州,铜仁,TRE
贵州,瓦窑田,WYT
贵州,威舍,WSH
贵州,威箐,WJI
贵州,息烽,XFE
贵州,相思河,XSH
贵州,小雨谷,XYG
贵州,新场,XCH
贵州,新坪田,XPT
贵州,新平坝,XPB
贵州,星朗,XLA
贵州,兴义,XYI
贵州,学庄,XZH
贵州,羊昌,YCH
贵州,羊坪,YPI
贵州,营街,YJI
贵州,雨格,YGE
贵州,玉屏,YPI
贵州,玉舍,YSH
贵州,元田坝,YTB
贵州,月亮田,YLT
贵州,镇远,ZYU
贵州,郑屯,ZTU
贵州,织金,ZJI
贵州,朱嘎,ZGA
贵州,朱石寨,ZSZ
贵州,遵义,ZYI
贵州,迤那,YNA
贵州,榕江,RJI
海南,博鳌,BAO
海南,东方,DFA
海南,海口,HKO
海南,海口东,HKD
海南,陵水,LSH
海南,美兰,MLA
海南,琼海,QHA
海南,三亚,SYA
海南,神州,SZH
海南,万宁,WNI
海南,文昌,WCH
海南,亚龙湾,YLW
河北,艾河,AHE
河北,霸州,BZH
河北,白涧,BJI
河北,白旗,BQI
河北,百里峡,BLX
河北,板城,BCH
河北,保定,BDI
河北,保定东,BDD
河北,北戴河,BDH
河北,北马圈子,BMZ
河北,北舍,BSH
河北,北屯,BTU
河北,泊头,BTO
河北,沧州,CZH
河北,沧州西,CZX
河北,柴沟堡,CGP
河北,昌黎,CLI
河北,超梁沟,CLG
河北,朝阳地,CYD
河北,承安铺,CAP
河北,承德,CDE
河北,承德东,CDD
河北,磁山,CSH
河北,磁西,CXI
河北,磁县,CXI
河北,大厂县,DCX
河北,大盘石,DPS
河北,大营镇,DYZ
河北,大杖子,DZZ
河北,定兴,DXI
河北,定州,DZH
河北,定州东,DZD
河北,东大坝,DDB
河北,东光,DGU
河北,东花园,DHY
河北,东戌,DXU
河北,洞庙河,DMH
河北,豆庄,DZH
河北,段甲岭,DJL
河北,二道沟门,EDM
河北,丰南,FNA
河北,浮图峪,FTY
河北,福山口,FSK
河北,福山寺,FSS
河北,抚宁,FNI
河北,富庄子,FZZ
河北,高碑店,GBD
河北,高碑店东,GBD
河北,高邑,GYI
河北,高邑西,GYX
河北,贡家台,GJT
河北,固安,GAN
河北,官厅,GTI
河北,官厅西,GTX
河北,广德号,GDH
河北,郭磊庄,GLZ
河北,邯郸,HDA
河北,邯郸东,HDD
河北,韩麻营,HMY
河北,和村,HCU
河北,河间西,HJX
河北,河洛营,HLY
河北,衡水,HSH
河北,猴山,HSH
河北,虎什哈,HSH
河北,黄家店,HJD
河北,获鹿,HLU
河北,获鹿所,HLS
河北,纪家沟,JJG
河北,甲山,JSH
河北,金沟屯,JGT
河北,晋州,JZH
河北,井店,JDI
河北,井南,JNA
河北,井陉,JXI
河北,旧庄窝,JZW
河北,康城,KCH
河北,孔家庄,KJZ
河北,狼山,LSH
河北,狼窝铺,LWP
河北,廊坊,LFA
河北,廊坊北,LFB
河北,梁底下,LDX
河北,良村,LCU
河北,林村,LCU
河北,流水沟,LSG
河北,六道河子,LDZ
河北,龙华,LHU
河北,龙家营,LJY
河北,龙家营所,LJS
河北,隆化,LHU
河北,卢龙,LLO
河北,滦河,LHE
河北,滦河沿,LHY
河北,滦平,LPI
河北,滦县,LXI
河北,滦县东,LXD
河北,螺山,LSH
河北,落垡,LFA
河北,马柳,MLI
河北,马铺营,MPY
河北,马头,MTO
河北,庙宫,MGO
河北,南城司,NCS
河北,南大庙,NDM
河北,南宫东,NGD
河北,南湾子,NWZ
河北,南峪,NYU
河北,南张村,NZC
河北,闹海营,NHY
河北,牛驼,NTU
河北,徘徊北,PHB
河北,潘家店,PJD
河北,彭城,PCH
河北,偏店,PDI
河北,平坊,PFA
河北,平泉,PQU
河北,奇峰塔,QFT
河北,迁安,QAN
河北,前磨头,QMT
河北,前苇塘,QWT
河北,秦皇岛,QHD
河北,青县,QXI
河北,清风店,QFD
河北,清河城,QHC
河北,清凉店,QLD
河北,饶阳,RYA
河北,任丘,RQI
河北,三河县,SHX
河北,三平,SPI
河北,沙城,SCH
河北,沙河市,SHS
河北,沙岭子,SLZ
河北,沙子河,SZH
河北,沙坨子,STZ
河北,山海关,SHG
河北,上安,SAN
河北,上板城,SBC
河北,上板城南,SBN
河北,上谷,SGU
河北,涉县,SXI
河北,深州,SZH
河北,石家庄,SJZ
河北,石家庄北,SJB
河北,石郎庄,SLZ
河北,什里店,SLD
河北,四合永,SHY
河北,肃宁,SNI
河北,塔崖驿,TYY
河北,汤头沟,TTG
河北,唐坊,TFA
河北,唐山,TSH
河北,唐山北,TSB
河北,完县,WXI
河北,万庄,WZH
河北,王安镇,WAZ
河北,王瞳,WTO
河北,望都,WDU
河北,文安,WAN
河北,吴桥,WQI
河北,武安,WAN
河北,五道河,WDH
河北,午汲,WJI
河北,西八里,XBL
河北,西大庙,XDM
河北,下板城,XBC
河北,下花园,XHY
河北,下台子,XTZ
河北,小寺沟,XSG
河北,小西庄,XXZ
河北,辛集,XJI
河北,新安村,XAC
河北,新保安,XBA
河北,新固镇,XGZ
河北,新乐,XLE
河北,新坡,XPO
河北,新杖子,XZZ
河北,兴隆县,XLX
河北,邢台,XTA
河北,邢台东,XTD
河北,徐水,XSH
河北,徐水东,XSD
河北,宣化,XHU
河北,悬钟,XZH
河北,燕郊,YJI
河北,杨各庄,YGZ
河北,杨树岭,YSL
河北,阳邑,YYI
河北,腰栈,YZH
河北,窑上,YSH
河北,野三坡,YSP
河北,义井,YJI
河北,银镇,YZH
河北,鹰手营子,YSZ
河北,永和,YHE
河北,幽州,YZH
河北,于家庄,YJZ
河北,榆树沟,YSG
河北,玉田县,YTX
河北,元氏,YSH
河北,云彩岭,YCL
河北,枣强,ZQI
河北,寨西店,ZXD
河北,张百湾,ZBW
河北,张家口,ZJK
河北,张家口南,ZJN
河北,张三营,ZSY
河北,招柏,ZBA
河北,正定,ZDI
河北,正定机场,ZDC
河北,紫荆关,ZJG
河北,藁城,GCH
河北,涞源,LYU
河北,涿州,ZZH
河北,涿州东,ZZD
河南,瀼河,RHE
河南,安阳,AYA
河南,安阳东,AYD
河南,白合,BHE
河南,北召店,BZD
河南,草店,CDI
河南,长葛,CGE
河南,长垣,CYU
河南,待王,DWA
河南,邓州,DZH
河南,董庄,DZH
河南,二郎庙,ELM
河南,封丘,FQI
河南,耿坡,GPO
河南,巩义,GYI
河南,巩义南,GYN
河南,构林,GLI
河南,固始,GSH
河南,关林,GLI
河南,韩堂,HTA
河南,鹤壁,HBI
河南,鹤壁东,HBD
河南,后寨,HZH
河南,滑县南,HXN
河南,淮滨,HBI
河南,获嘉,HJI
河南,济源,JYU
河南,焦作,JZU
河南,焦作东,JZD
河南,开封,KFE
河南,兰考,LKA
河南,莲东,LDO
河南,临汝镇,LRZ
河南,临颍,LYI
河南,灵宝,LBA
河南,灵宝西,LBX
河南,留庄,LZH
河南,鲁山,LSH
河南,罗山,LSH
河南,洛阳,LYA
河南,洛阳东,LYD
河南,洛阳龙门,LYM
河南,孟津,MJI
河南,孟庙,MMI
河南,庙下,MXI
河南,民权,MQU
河南,明港,MGA
河南,明港东,MGD
河南,南阳,NYA
河南,南阳东,NYD
河南,南阳西,NYX
河南,南召,NZH
河南,内乡,NXI
河南,捏掌,NZH
河南,宁陵县,NLX
河南,盘古寺,PGS
河南,平顶山,PDS
河南,平顶山西,PDX
河南,蒲山店,PSD
河南,圃田西,PTX
河南,沁河北,QHB
河南,沁阳,QYA
河南,确山,QSH
河南,汝阳,RYA
河南,汝州,RZH
河南,三门峡,SMX
河南,三门峡南,SMN
河南,三门峡西,SMX
河南,商城,SCH
河南,商酒务,SJW
河南,商丘,SQI
河南,商丘南,SQN
河南,上街,SJI
河南,沈丘,SQI
河南,狮子营,SZY
河南,遂平,SPI
河南,塔前,TQI
河南,台前,TQI
河南,太要,TYA
河南,汤阴,TYI
河南,唐河,THE
河南,桐柏,TBA
河南,王楼,WLO
河南,王庄,WZH
河南,卫辉,WHU
河南,文庄村,WZC
河南,西平,XPI
河南,西峡,XXI
河南,息县,XXI
河南,夏集,XJI
河南,夏邑县,XYX
河南,项城,XCH
河南,小屯街,XTJ
河南,新安县,XAX
河南,新县,XXI
河南,新乡,XXI
河南,新乡东,XXD
河南,新郑,XZH
河南,信阳,XYA
河南,信阳东,XYD
河南,修武,XWU
河南,许昌,XCH
河南,许昌东,XCD
河南,延津,YJI
河南,伊川,YCH
河南,义马,YMA
河南,虞城县,YCX
河南,月山,YSH
河南,镇平,ZPI
河南,郑州,ZZH
河南,郑州东,ZZD
河南,郑州西,ZZX
河南,中牟,ZMU
河南,中原,ZYU
河南,周口,ZKO
河南,驻马店,ZMD
河南,驻马店西,ZMX
河南,偃师,YSH
河南,渑池,MCH
河南,渑池南,MCN
河南,潢川,HCH
河南,漯河,LHE
河南,漯河西,LHX
河南,轵城,ZCH
河南,穰东,RDO
黑龙江,阿城,ACH
黑龙江,阿木尔,AME
黑龙江,爱河,AHE
黑龙江,安达,ADA
黑龙江,安家,AJI
黑龙江,昂昂溪,AAX
黑龙江,敖头,ATO
黑龙江,八村,BCU
黑龙江,八方,BFA
黑龙江,八虎力,BHL
黑龙江,八面通,BMT
黑龙江,白奎堡,BKP
黑龙江,白山乡,BSX
黑龙江,白桦排,BHP
黑龙江,半截河,BJH
黑龙江,宝林,BLI
黑龙江,宝泉岭,BQL
黑龙江,北安,BAN
黑龙江,北林,BLI
黑龙江,背荫河,BYH
黑龙江,笔架山,BJS
黑龙江,碧水,BSH
黑龙江,碧州,BZH
黑龙江,滨江,BJI
黑龙江,勃利,BLI
黑龙江,查班河,CBH
黑龙江,柴河,CHE
黑龙江,长发屯,CFT
黑龙江,长汀镇,CTZ
黑龙江,朝阳村,CYC
黑龙江,潮水,CSH
黑龙江,辰清,CQI
黑龙江,晨明,CMI
黑龙江,成高子,CGZ
黑龙江,楚山,CSH
黑龙江,创业村,CYC
黑龙江,春亭阁,CTG
黑龙江,翠峰,CFE
黑龙江,翠岗,CGA
黑龙江,达拉滨,DLB
黑龙江,大观岭,DGL
黑龙江,大民屯,DMT
黑龙江,大庆,DQI
黑龙江,大庆西,DQX
黑龙江,大乌苏,DWS
黑龙江,大西,DXI
黑龙江,大兴,DXI
黑龙江,大杨树,DYS
黑龙江,大杨树东,DYD
黑龙江,大扬气,DYQ
黑龙江,带岭,DLI
黑龙江,代马沟,DMG
黑龙江,滴道,DDA
黑龙江,东边井,DBJ
黑龙江,东二道河,DEH
黑龙江,东方红,DFH
黑龙江,东海,DHA
黑龙江,东海县,DHX
黑龙江,东佳木斯,DJS
黑龙江,东津,DJI
黑龙江,东京城,DJC
黑龙江,东门,DME
黑龙江,斗沟子,DGZ
黑龙江,独立屯,DLT
黑龙江,杜家,DJI
黑龙江,对青山,DQS
黑龙江,二道湾,EDW
黑龙江,二井,EJI
黑龙江,二龙山屯,ELT
黑龙江,丰乐镇,FLZ
黑龙江,冯屯,FTU
黑龙江,佛岭,FLI
黑龙江,福利屯,FLT
黑龙江,抚远,FYU
黑龙江,富海,FHA
黑龙江,富江镇,FJZ
黑龙江,富锦,FJI
黑龙江,富拉尔基,FLJ
黑龙江,富裕,FYU
黑龙江,高家,GJI
黑龙江,高老,GLA
黑龙江,高头,GTO
黑龙江,古城,GCH
黑龙江,古城镇,GCZ
黑龙江,古莲,GLI
黑龙江,古源,GYU
黑龙江,光明,GMI
黑龙江,哈川,HCH
黑龙江,哈达阳,HDY
黑龙江,哈尔滨,HEB
黑龙江,哈尔滨东,HED
黑龙江,哈尔滨西,HEX
黑龙江,哈力图,HLT
黑龙江,海北,HBE
黑龙江,海浪,HLA
黑龙江,海林,HLI
黑龙江,海伦,HLU
黑龙江,韩家园,HJY
黑龙江,寒葱沟,HCG
黑龙江,浩良河,HLH
黑龙江,鹤北,HBE
黑龙江,鹤岗,HGA
黑龙江,鹤立,HLI
黑龙江,鹤山,HSH
黑龙江,黑岗,HGA
黑龙江,黑河,HHE
黑龙江,黑台,HTA
黑龙江,横道河子,HDZ
黑龙江,恒地营,HDY
黑龙江,洪河,HHE
黑龙江,宏图,HTU
