Station_train_code,Departure,Destination
D2701,兰州西,乌鲁木齐
D2703,兰州西,乌鲁木齐
D2706,乌鲁木齐,兰州西
D2708,乌鲁木齐,兰州西
D2711,兰州西,乌鲁木齐
D2712,乌鲁木齐,兰州西
D2741,兰州西,嘉峪关南
D2742,嘉峪关南,兰州西
D2743,兰州西,嘉峪关南
D2746,敦煌,兰州西
D2747,敦煌,兰州西
D2749,兰州,敦煌
D2750,嘉峪关南,兰州西
D2751,兰州,敦煌
D2752,兰州,敦煌
D2754,兰州,敦煌
D2757,兰州西,嘉峪关南
D2758,敦煌,兰州西
D2759,敦煌,兰州西
D2803,贵阳北,广州南
D2804,广州南,贵阳北
D2806,广州南,贵阳北
D2807,贵阳北,广州南
D2809,贵阳北,广州南
D2811,贵阳北,广州南
D2812,广州南,贵阳北
D2818,广州南,贵阳北
D2823,贵阳北,广州南
D2825,贵阳北,广州南
D2830,广州南,贵阳北
D2831,贵阳北,广州南
D2834,广州南,贵阳北
D2837,贵阳北,广州南
D2838,广州南,贵阳北
D2840,广州南,贵阳北
D2841,贵阳北,广州南
D2842,广州南,贵阳北
D2844,广州南,贵阳北
D2877,广州,贵阳北
D2878,贵阳北,广州
D2879,贵阳北,广州
D2880,广州,贵阳北
D2943,柳州,广州南
D2944,广州南,柳州
D2945,广州南,柳州
D2946,柳州,广州南
D2947,柳州,广州南
D2948,广州南,柳州
D2949,广州南,柳州
D2950,柳州,广州南
D2951,柳州,广州南
D2952,广州南,柳州
D2953,广州南,柳州
D2954,柳州,广州南
D2955,柳州,广州南
D2956,广州南,柳州
D2957,广州南,柳州
D2958,柳州,广州南
D2959,桂林北,广州南
D2960,广州南,桂林北
D2961,桂林北,广州南
D2962,广州南,桂林北
D2963,桂林北,广州南
D2965,桂林北,广州南
D2966,广州南,东安东
D2969,桂林北,广州南
D2970,广州南,桂林北
D2972,广州南,三江南
D2975,三江南,广州南
D2976,广州南,桂林北
D2979,桂林北,广州南
D2980,广州南,桂林北
D2982,广州南,桂林北
D2984,广州南,桂林北
D2985,桂林北,广州南
D2986,东安东,广州南
D2987,东安东,广州南
D2991,柳州,广州南
D2992,广州南,柳州
D2993,广州南,柳州
D2994,柳州,广州南
D2995,广州,桂林北
D2996,桂林北,广州
D2997,桂林北,广州
D2998,广州,桂林北
D3001,襄阳东,上海南
D3002,上海虹桥,襄阳东
D3003,上海虹桥,襄阳东
D3004,襄阳东,上海南
D3005,宜昌东,上海虹桥
D3006,上海虹桥,宜昌东
D3007,上海虹桥,宜昌东
D3008,宜昌东,上海虹桥
D3009,汉口,上海虹桥
D3010,上海虹桥,襄阳
D3011,上海虹桥,襄阳
D3012,汉口,上海虹桥
D3013,汉口,上海虹桥
D3014,上海虹桥,汉口
D3015,上海虹桥,汉口
D3016,汉口,上海虹桥
D3021,武昌,上海虹桥
D3022,上海虹桥,武昌
D3023,上海虹桥,武昌
D3024,武昌,上海虹桥
D3025,汉口,上海虹桥
D3026,上海虹桥,宜昌东
D3027,上海虹桥,宜昌东
D3028,汉口,上海虹桥
D3031,宜昌东,上海虹桥
D3032,上海虹桥,汉口
D3033,上海虹桥,汉口
D3034,宜昌东,上海虹桥
D3041,武昌,上海虹桥
D3042,上海虹桥,汉口
D3043,上海虹桥,汉口
D3044,武昌,上海虹桥
D3045,武昌,上海虹桥
D3046,上海虹桥,汉口
D3047,上海虹桥,汉口
D3048,武昌,上海虹桥
D3055,南充北,上海虹桥
D3056,上海虹桥,南充北
D3057,上海虹桥,南充北
D3058,南充北,上海虹桥
D3059,汉口,嘉兴南
D3060,上海南,汉口
D3061,上海南,汉口
D3062,汉口,嘉兴南
D3063,汉口,上海南
D3064,上海南,汉口
D3065,上海南,汉口
D3066,汉口,上海南
D3067,汉口,上海南
D3068,上海南,汉口
D3069,上海南,汉口
D3070,汉口,上海南
D3071,重庆北,上海南
D3072,上海南,重庆北
D3073,上海南,重庆北
D3074,重庆北,上海南
D3081,南京南,宜昌东
D3082,宜昌东,南京南
D3083,南京南,襄阳
D3084,襄阳,南京南
D3089,汉口,上海虹桥
D3090,上海虹桥,汉口
D3091,上海虹桥,汉口
D3092,汉口,上海虹桥
D3101,上海虹桥,福州
D3102,福州,上海虹桥
D3103,上海虹桥,福州南
D3104,莆田,上海虹桥
D3107,上海虹桥,深圳北
D3108,深圳北,上海虹桥
D3109,温州南,福州
D3110,福州,温州南
D3111,杭州东,深圳北
D3112,深圳北,杭州东
D3125,南京,深圳北
D3126,深圳北,南京
D3131,上海虹桥,龙岩
D3132,龙岩,上海虹桥
D3133,龙岩,上海虹桥
D3134,上海虹桥,龙岩
D3135,南京,赣州
D3136,赣州,南京
D3137,赣州,南京
D3138,南京,赣州
D3141,南京,龙岩
D3142,龙岩,南京
D3143,龙岩,南京
D3144,南京,龙岩
D3145,上海虹桥,赣州
D3146,赣州,上海虹桥
D3147,赣州,上海虹桥
D3148,上海虹桥,赣州
D3151,汉口,南通
D3152,南通,汉口
D3153,南通,汉口
D3154,汉口,南通
D3155,汉口,南通
D3156,南通,汉口
D3157,南通,汉口
D3158,汉口,南通
D3165,杭州东,龙岩
D3166,龙岩,杭州东
D3167,龙岩,杭州东
D3168,杭州东,龙岩
D3169,杭州东,福州南
D3170,福州南,杭州东
D3171,杭州东,福州南
D3172,福州南,杭州东
D3201,上海虹桥,厦门北
D3202,厦门北,上海虹桥
D3205,上海虹桥,厦门北
D3206,厦门北,上海虹桥
D3211,湖州,厦门北
D3212,厦门北,湖州
D3213,宁波,厦门
D3214,厦门北,宁波
D3215,宁波,厦门北
D3216,厦门北,宁波
D3217,杭州东,厦门北
D3218,厦门,杭州东
D3219,宁波,厦门北
D3220,厦门北,宁波
D3222,南昌西,武汉
D3223,武汉,南昌
D3226,南昌,武汉
D3227,武汉,南昌西
D3229,杭州东,福州南
D3230,福州南,杭州东
D3233,杭州东,厦门
D3234,厦门,杭州东
D3235,南京南,福州南
D3236,福州南,南京南
D3237,厦门北,南京南
D3238,南京南,厦门北
D3239,南京南,厦门北
D3240,厦门北,南京南
D3241,武汉,南昌西
D3242,南昌西,武汉
D3245,武汉,南昌
D3246,南昌西,武汉
D3255,宜昌东,南昌西
D3256,南昌,宜昌东
D3257,南昌,宜昌东
D3258,宜昌东,南昌西
D3261,福州,汉口
D3262,汉口,福州
D3263,汉口,福州
D3264,福州,汉口
D3265,武汉,福州
D3266,福州,武汉
D3271,厦门北,汉口
D3272,汉口,厦门北
D3273,汉口,厦门北
D3274,厦门北,汉口
D3275,厦门北,汉口
D3276,汉口,厦门北
D3277,汉口,厦门北
D3278,厦门北,汉口
D3281,武汉,景德镇北
D3282,景德镇北,武汉
D3283,景德镇北,武汉
D3284,武汉,景德镇北
D3285,厦门北,宜昌东
D3288,厦门北,宜昌东
D3289,武汉,厦门北
D3290,厦门北,武汉
D3291,上海虹桥,龙岩
D3292,龙岩,上海虹桥
D3293,龙岩,上海虹桥
D3294,上海虹桥,龙岩
D3295,南京南,龙岩
D3296,龙岩,南京南
D3297,龙岩,南京南
D3298,南京南,龙岩
D3301,宁波,南昌西
D3302,南昌西,宁波
D3303,南昌西,宁波
D3304,宁波,南昌西
D3305,宁波,厦门北
D3306,厦门北,宁波
D3307,杭州东,深圳北
D3308,深圳北,杭州东
D3323,上海虹桥,景德镇北
D3324,景德镇北,上海虹桥
D3333,福州南,深圳北
D3334,深圳北,福州南
D3335,福州南,深圳北
D3336,深圳北,福州南
D3337,福州南,深圳北
D3338,深圳北,福州南
D3339,福州南,深圳北
D3340,深圳北,福州南
D3395,汉口,杭州东
D3396,杭州东,汉口
D3397,杭州东,汉口
D3398,汉口,杭州东
D3561,贵阳北,北海
D3563,贵阳北,北海
D3564,梧州南,贵阳北
D3567,贵阳北,梧州南
D3568,北海,贵阳北
D3570,北海,贵阳北
D3571,贵阳北,南宁东
D3572,南宁东,贵阳北
D3601,梧州南,广州南
D3602,广州南,南宁东
D3603,南宁东,广州南
D3604,广州南,南宁东
D3605,南宁东,广州南
D3606,广州南,南宁东
D3607,南宁东,广州南
D3608,珠海,南宁东
D3609,南宁东,广州南
D3610,广州南,南宁东
D3612,广州南,南宁东
D3613,南宁东,广州南
D3614,广州南,南宁东
D3616,广州南,南宁东
D3618,广州南,南宁东
D3619,南宁东,广州南
D3620,广州南,南宁东
D3621,南宁东,广州南
D3623,南宁东,广州南
D3624,广州南,南宁东
D3625,南宁东,广州南
D3627,南宁东,广州南
D3628,广州南,南宁东
D3629,南宁东,广州南
D3630,广州南,南宁东
D3631,南宁东,广州南
D3633,南宁东,广州南
D3634,广州南,南宁东
D3635,南宁东,广州南
D3636,广州南,南宁东
D3637,南宁东,珠海
D3638,广州南,南宁东
D3639,南宁东,广州南
D3640,广州南,南宁东
D3641,南宁东,广州南
D3642,广州南,南宁东
D3643,南宁东,广州南
D3644,广州南,梧州南
D3645,南宁东,广州南
D3677,广州,南宁东
D3678,南宁东,广州
D3679,南宁东,广州
D3680,广州,南宁东
D3701,北海,广州南
D3704,北海,广州南
D3705,北海,广州南
D3706,广州南,北海
D3707,广州南,北海
D3708,北海,广州南
D3709,北海,广州南
D3710,广州南,北海
D3711,广州南,北海
D3712,北海,广州南
D3714,广州南,北海
D3715,广州南,北海
D3717,北海,广州南
D3720,北海,广州南
D3721,北海,广州南
D3722,广州南,北海
D3723,广州南,北海
D3724,北海,广州南
D3725,北海,广州南
D3726,广州南,北海
D3727,广州南,北海
D3728,北海,广州南
D3730,广州南,北海
D3731,广州南,北海
D3733,北海,广州南
D3734,广州南,北海
D3735,广州南,北海
D3736,北海,广州南
D3737,北海,广州南
D3738,广州南,北海
D3739,广州南,北海
D3740,北海,广州南
D3742,广州南,北海
D3743,广州南,北海
D3751,柳州,广州南
D3752,广州南,柳州
D3753,柳州,广州南
D3754,广州南,柳州
D3755,柳州,广州南
D3756,广州南,柳州
D3757,柳州,广州南
D3758,广州南,柳州
D3759,柳州,广州南
D3760,广州南,柳州
D3761,柳州,广州南
D3762,广州南,桂林北
D3763,柳州,广州南
D3764,广州南,柳州
D3781,百色,广州南
D3782,广州南,百色
D3783,广州南,百色
D3784,百色,广州南
D3785,百色,广州南
D3786,广州南,百色
D3787,广州南,百色
D3788,百色,广州南
D3789,百色,广州南
D3790,广州南,百色
D3791,广州南,百色
D3792,百色,广州南
D3793,百色,广州南
D3796,百色,广州南
D3801,昆明南,广州南
D3802,广州南,大理
D3803,广州南,大理
D3804,昆明南,广州南
D3806,广州南,昆明南
D3807,广州南,昆明南
D3809,昆明南,珠海
D3810,广州南,大理
D3811,广州南,大理
D3812,昆明南,珠海
D3813,昆明南,广州南
D3816,昆明南,广州南
D3817,昆明南,广州南
D3818,广州南,大理
D3819,广州南,大理
D3820,昆明南,广州南
D3821,昆明南,广州南
D3822,广州南,昆明南
D3823,广州南,昆明南
D3824,昆明南,广州南
D3825,昆明南,广州南
D3826,广州南,昆明南
D3827,广州南,昆明南
D3828,昆明南,广州南
D3829,昆明南,广州南
D3830,广州南,昆明南
D3831,广州南,昆明南
D3832,昆明南,广州南
D3837,昆明南,广州南
D3838,广州南,昆明南
D3839,广州南,昆明南
D3840,昆明南,广州南
D3841,大理,广州南
D3842,珠海,昆明南
D3843,珠海,昆明南
D3844,大理,广州南
D3846,广州南,昆明南
D3847,广州南,昆明南
D3849,大理,广州南
D3850,广州南,昆明南
D3851,广州南,昆明南
D3852,大理,广州南
D3853,大理,广州南
D3856,大理,广州南
D3857,昆明南,广州南
D3858,广州南,昆明南
D3859,广州南,昆明南
D3860,昆明南,广州南
D3862,广州南,昆明南
D3863,广州南,昆明南
D3903,桂林北,昆明南
D3904,昆明南,桂林北
D3905,柳州,昆明南
D3906,昆明南,桂林北
D3910,昆明南,南宁东
D3922,北海,昆明南
D3923,北海,昆明南
D3925,昆明南,北海
D3928,昆明南,北海
D3931,大理,衡阳东
D3932,南宁东,大理
D3933,南宁东,大理
D3934,大理,衡阳东
D3935,大理,北海
D3936,柳州,大理
D3937,柳州,大理
D3938,大理,北海
D3940,桂林北,丽江
D3941,桂林北,丽江
D3942,丽江,桂林北
D3943,大理,桂林北
D3946,大理,桂林北
