station_name,station_telecode,province,city
YCK,禹城,山东省,德州市
ABV,运城北,山西省,运城市
YNV,运城,山西省,运城市
AFH,盐城,江苏省,盐城市
RGH,永城北,河南省,商丘市
YBW,宜宾,四川省,宜宾市
ANW,宜宾南,四川省,宜宾市
YXE,宜宾西,四川省,宜宾市
YBB,亚布力,黑龙江省,哈尔滨市
YWB,亚布力南,黑龙江省,哈尔滨市
YSB,亚布力西,黑龙江省,哈尔滨市
YQS,永安南,福建省,三明市
YFW,迎宾路,四川省,都江堰市
YAE,雅安,四川省,雅安市
XXV,忻州,山西省,忻州市
IXV,忻州西,山西省,忻州市
FNQ,香樟路,湖南省,长沙市
EZF,新郑机场,河南省,郑州市
XQM,祥云,云南省,大理白族自治州
PTS,莆田,福建省,莆田市
HJS,涵江,福建省,莆田市
XWS,仙游,福建省,莆田市
XYA,秀英,海南省,海口市
XOY,咸阳秦都,陕西省,咸阳市
XYY,咸阳,陕西省,咸阳市
XWN,襄州,湖北省,襄阳市
EKN,襄阳东,湖北省,襄阳市
XFN,襄阳,湖北省,襄阳市
XUN,信阳,河南省,信阳市
OYN,信阳东,河南省,信阳市
XQF,西阳村,山西省,晋城市
XUG,新余,江西省,新余市
XBG,新余北,江西省,新余市
XXT,岫岩,辽宁省,鞍山市
QSH,萧县北,安徽省,宿州市
EOH,萧县,安徽省,宿州市
XXF,新乡,河南省,新乡市
EGF,新乡东,河南省,新乡市
RHB,新香坊北,黑龙江省,哈尔滨市
XWE,修文县,贵州省,贵阳市
EXF,修武西,河南省,焦作市
XWD,西乌旗,内蒙古自治区,锡林郭勒盟
XNE,兴文,四川省,宜宾市
NUQ,新塘南,广东省,广州市
XTP,邢台,河北省,邢台市
EDP,邢台东,河北省,邢台市
EDQ,湘潭北,湖南省,湘潭市
XTQ,湘潭,湖南省,湘潭市
XSU,响水县,江苏省,盐城市
EGQ,西平西,广东省,东莞市
EMQ,溆浦南,湖南省,怀化市
EPQ,溆浦,湖南省,怀化市
XNN,咸宁,湖北省,咸宁市
XRN,咸宁北,湖北省,咸宁市
XKN,咸宁东,湖北省,咸宁市
UNN,咸宁南,湖北省,咸宁市
XMS,厦门,福建省,厦门市
XKS,厦门北,福建省,厦门市
EMS,厦 门,福建省,厦门市
XOT,新民北,辽宁省,沈阳市
XLE,西来,四川省,成都市
ITW,新津南,四川省,成都市
IJP,辛集南,河北省,石家庄市
ENP,辛集,河北省,石家庄市
IRW,新津,四川省,成都市
EHF,西华,河南省,周口市
EWQ,新晃西,湖南省,怀化市
XLQ,新晃,湖南省,怀化市
EJQ,新化南,湖南省,娄底市
EHQ,新化,湖南省,娄底市
XYP,下花园,河北省,张家口市
OKP,下花园北,河北省,张家口市
VJP,宣化北,河北省,张家口市
XHP,宣化,河北省,张家口市
EBC,兴和北,内蒙古自治区,乌兰察布市
XZK,夏格庄,山东省,青岛市
XIG,兴国西,江西省,赣州市
EUG,兴国,江西省,赣州市
XGN,孝感,湖北省,孝感市
XJN,孝感北,湖北省,孝感市
GDN,孝感东,湖北省,孝感市
XGG,新干东,江西省,吉安市
EGG,新干,江西省,吉安市
XTV,襄汾西,山西省,临汾市
XFV,襄汾,山西省,临汾市
FVQ,湘府路,湖南省,长沙市
NQQ,先锋,内蒙古自治区,巴彦淖尔市
XFT,西丰,辽宁省,铁岭市
XFA,咸丰,湖北省,恩施土家族苗族自治州
XDA,西渡,湖南省,衡阳市
EWW,新都东,四川省,成都市
ERN,项城,河南省,周口市
XVF,许昌东,河南省,许昌市
XCF,许昌,河南省,许昌市
EBF,许昌北,河南省,许昌市
XDZ,兴安北,广西壮族自治区,桂林市
WBZ,梧州南,广西壮族自治区,梧州市
WZZ,梧州,广西壮族自治区,梧州市
WIF,武陟,河南省,焦作市
WVJ,吴忠,宁夏回族自治区,吴忠市
WYW,万州,重庆市,重庆市
WZE,万州北,重庆市,重庆市
WEJ,渭源,甘肃省,定西市
WYG,婺源,江西省,上饶市
WAS,武夷山,福建省,南平市
WBS,武夷山北,福建省,南平市
NOS,南平市,福建省,南平市
JYS,建阳,福建省,南平市
RYH,武义,浙江省,金华市
WDH,武义北,浙江省,金华市
WOV,闻喜西,山西省,运城市
WXV,闻喜,山西省,运城市
WXE,威信,云南省,昭通市
WAH,瓦屋山,江苏省,常州市
WWU,无为南,安徽省,芜湖市
IIH,无为,安徽省,芜湖市
WTZ,五通,广西壮族自治区,桂林市
WSR,乌苏,新疆维吾尔自治区,伊犁哈萨克自治州
WSE,武胜,四川省,广安市
WNY,渭南,陕西省,渭南市
WBY,渭南北,陕西省,渭南市
WXY,渭南西,陕西省,渭南市
WET,五女山,辽宁省,本溪市
WNA,望牛墩,广东省,东莞市
WFN,乌龙泉南,湖北省,武汉市
DUT,丹东,辽宁省,丹东市
WBT,五龙背,辽宁省,丹东市
WMT,五龙背东,辽宁省,丹东市
JAC,集宁南,内蒙古自治区,乌兰察布市
WPC,乌兰察布,内蒙古自治区,乌兰察布市
WJR,魏家泉,新疆维吾尔自治区,昌吉回族自治州
WJE,温江,四川省,成都市
WHB,苇河,黑龙江省,哈尔滨市
WIB,苇河西,黑龙江省,哈尔滨市
WKK,威海,山东省,威海市
WHK,威海北,山东省,威海市
WFG,五府山,江西省,上饶市
WFK,潍坊,山东省,潍坊市
WJK,潍坊北,山东省,潍坊市
WRN,武当山,湖北省,十堰市
WWN,武当山西,湖北省,十堰市
WGK,文登东,山东省,威海市
WBK,文登,山东省,威海市
WAQ,吴川,广东省,湛江市
WAG,万安县,江西省,吉安市
TOP,通州,北京市,北京市
TZW,桐梓,贵州省,遵义市
TDE,桐梓东,贵州省,遵义市
IZP,太子城,河北省,张家口市
TBE,桐梓北,贵州省,遵义市
TYT,通远堡,辽宁省,凤城市
TST,通远堡西,辽宁省,凤城市
FHT,凤凰城,辽宁省,凤城市
FDT,凤城东,辽宁省,凤城市
TYA,桃源,湖南省,常德市
TYV,太原,山西省,太原市
TDV,太原东,山西省,太原市
TNV,太原南,山西省,太原市
FEV,汾河,山西省,太原市
TAZ,藤县,广西壮族自治区,梧州市
THN,汤逊湖,湖北省,武汉市
TWJ,通渭,甘肃省,定西市
KQQ,田心东,湖南省,株洲市
TSJ,天水,甘肃省,天水市
XZJ,新阳镇,甘肃省,天水市
WNJ,渭南镇,甘肃省,天水市
TIJ,天水南,甘肃省,天水市
TNW,铜仁南,贵州省,铜仁市
YZW,玉屏,贵州省,铜仁市
TNS,泰宁,福建省,三明市
TLU,桐庐,浙江省,杭州市
TJH,铜陵,安徽省,铜陵市
KXH,铜陵北,安徽省,铜陵市
TFR,吐鲁番,新疆维吾尔自治区,吐鲁番市
TAR,吐鲁番北,新疆维吾尔自治区,吐鲁番市
TVC,托克托东,内蒙古自治区,呼和浩特市
TJB,同江,黑龙江省,佳木斯市
TXL,通化县,吉林省,通化市
TSP,唐山,河北省,唐山市
FUP,唐山北,河北省,唐山市
TKP,唐山南,河北省,唐山市
GYP,古冶,河北省,唐山市
TLP,南堡北,河北省,唐山市
IEP,唐海南,河北省,唐山市
POP,曹妃甸东,河北省,唐山市
PGP,曹妃甸港,河北省,唐山市
TEN,天河街,湖北省,武汉市
TDU,太和东,安徽省,阜阳市
TJN,天河机场,湖北省,武汉市
JYN,太和北,安徽省,阜阳市
TAM,通海,云南省,玉溪市
SSR,鄯善,新疆维吾尔自治区,吐鲁番市
SMR,鄯善北,新疆维吾尔自治区,吐鲁番市
THR,吐哈,新疆维吾尔自治区,吐鲁番市
TIV,太谷西,山西省,晋中市
TGV,太谷,山西省,晋中市
TTN,土地堂东,湖北省,武汉市
TBZ,田东北,广西壮族自治区,百色市
PST,铁刹山,辽宁省,本溪市
TZR,塔城,新疆维吾尔自治区,塔城地区
TJR,铁厂沟,新疆维吾尔自治区,塔城地区
TOK,桃村北,山东省,烟台市
TCK,桃村,山东省,烟台市
OSW,石柱县,重庆市,重庆市
QQJ,石嘴山,宁夏回族自治区,石嘴山市
DFJ,大武口,宁夏回族自治区,石嘴山市
IFQ,深圳坪山,广东省,深圳市
ONN,随州南,湖北省,随州市
SZN,随州,湖北省,随州市
OVN,随县,湖北省,随州市
SZB,尚志,黑龙江省,哈尔滨市
OZB,尚志南,黑龙江省,哈尔滨市
SZA,桑植,湖南省,张家界市
SRQ,神州,海南省,万宁市
SCA,深圳机场,广东省,深圳市
OSQ,深圳西,广东省,深圳市
SZQ,深圳,广东省,深圳市
IOQ,深圳北,广东省,深圳市
BJQ,深圳东,广东省,深圳市
NZQ,福田,广东省,深圳市
SBA,深圳机场北,广东省,深圳市
SNV,山阴,山西省,朔州市
RYV,岱岳,山西省,朔州市
OUN,十堰东,湖北省,十堰市
SNN,十堰,湖北省,十堰市
OVQ,邵阳北,湖南省,邵阳市
SYQ,邵阳,湖南省,邵阳市
OYT,双阳,吉林省,长春市
SAU,射阳,江苏省,盐城市
SYU,三阳,安徽省,黄山市
SQS,双洋,福建省,龙岩市
MPH,泗阳,江苏省,宿迁市
IPQ,始兴,广东省,韶关市
GPH,泗县,安徽省,宿州市
SOU,寿县,安徽省,淮南市
BDH,上虞,浙江省,绍兴市
SSH,绍兴东,浙江省,绍兴市
SOH,绍兴,浙江省,绍兴市
SLH,绍兴北,浙江省,绍兴市
NPH,歙县北,安徽省,黄山市
OVH,歙县,安徽省,黄山市
LLQ,陆丰,广东省,汕尾市
OGQ,汕尾,广东省,汕尾市
KMQ,鲘门,广东省,深圳市
RXW,达州,四川省,达州市
STE,石梯,四川省,达州市
QHW,三穗,贵州省,黔东南苗族侗族自治州
INQ,韶山南,湖南省,湘潭市
ONK,泗水南,山东省,济宁市
OSK,泗水,山东省,济宁市
KSQ,狮山,广东省,佛山市
NSQ,狮山北,广东省,佛山市
FOQ,佛山西,广东省,佛山市
FSQ,佛山,广东省,佛山市
KUQ,松山湖北,广东省,东莞市
SQN,沈丘,河南省,周口市
SQF,商丘,河南省,商丘市
SPF,商丘南,河南省,商丘市
SIF,商丘东,河南省,商丘市
SKF,沈丘北,河南省,周口市
SBN,山坡东,湖北省,武汉市
ONC,苏尼特左旗,内蒙古自治区,锡林郭勒盟
SNU,睢宁,江苏省,徐州市
HMY,神木,陕西省,榆林市
FMQ,树木岭,湖南省,长沙市
SVM,嵩明,云南省,昆明市
SHS,三明北,福建省,三明市
SVS,三明,福建省,三明市
OLB,胜利镇,黑龙江省,哈尔滨市
IQW,双流西,四川省,成都市
LNM,石林南,云南省,昆明市
SLM,石林,云南省,昆明市
SYM,石林西,云南省,昆明市
OHB,双龙湖,黑龙江省,哈尔滨市
IPW,双流机场,四川省,成都市
SIR,四棵树,新疆维吾尔自治区,塔城地区
SJA,沙井西,广东省,深圳市
SOZ,三江县,广西壮族自治区,柳州市
SWZ,三江南,广西壮族自治区,柳州市
SJP,石家庄,河北省,石家庄市
VVP,石家庄北,河北省,石家庄市
GIP,高邑,河北省,石家庄市
SXP,石家庄东,河北省,石家庄市
GEP,藁城,河北省,石家庄市
GUP,藁城南,河北省,石家庄市
SOA,畲江北,广东省,梅州市
OHR,双河市,新疆维吾尔自治区,博尔塔拉蒙古自治州
SOK,商河,山东省,济南市
NFQ,双峰北,湖南省,娄底市
FOP,霸州西,河北省,廊坊市
SUP,胜芳,河北省,廊坊市
RMP,霸州,河北省,廊坊市
KKW,三都县,贵州省,黔南布依族苗族自治州
FIQ,邵东,湖南省,邵阳市
SFF,宋城路,河南省,开封市
KFF,开封,河南省,开封市
KBF,开封北,河南省,开封市
KZK,日照西,山东省,日照市
RZK,日照,山东省,日照市
RVQ,饶平,广东省,潮州市
CBQ,潮汕,广东省,潮州市
RKO,日喀则,西藏自治区,日喀则市
RVW,榕江,贵州省,黔东南苗族侗族自治州
FWH,栟茶,江苏省,南通市
RIH,如东,江苏省,南通市
RCG,瑞昌,江西省,九江市
RXG,瑞昌西,江西省,九江市
RCK,荣成,山东省,威海市
RQW,荣昌北,重庆市,重庆市
RCW,荣昌,重庆市,重庆市
RUO,仁布,西藏自治区,日喀则市
QUE,清镇西,贵州省,贵阳市
QZQ,棋子湾,海南省,昌江黎族自治县
QNZ,全州南,广西壮族自治区,桂林市
QEP,乔庄东,北京市,北京市
QZK,青州市,山东省,潍坊市
QOK,青州市北,山东省,潍坊市
QNC,旗下营南,内蒙古自治区,乌兰察布市
QBY,乾县,陕西省,咸阳市
QXE,黔西,贵州省,毕节市
QGV,祁县东,山西省,晋中市
QXV,祁县,山西省,晋中市
JWE,犍为,四川省,乐山市
QSO,曲水县,西藏自治区,拉萨市
QIJ,清水县,甘肃省,天水市
QSQ,庆盛,广东省,广州市
QAY,岐山,陕西省,宝鸡市
CJY,蔡家坡,陕西省,宝鸡市
QVW,青神,四川省,眉山市
QUJ,清水,甘肃省,酒泉市
QEJ,清水北,甘肃省,酒泉市
QNB,齐齐哈尔南,黑龙江省,齐齐哈尔市
QHX,齐齐哈尔,黑龙江省,齐齐哈尔市
QEW,青莲,四川省,绵阳市
QLE,邛崃,四川省,成都市
QIM,曲江,云南省,红河哈尼族彝族自治州
QDE,綦江东,重庆市,重庆市
QJM,曲靖,云南省,曲靖市
QBM,曲靖北,云南省,曲靖市
QIK,齐河,山东省,德州市
QBD,清河门北,辽宁省,阜新市
QFB,前锋,黑龙江省,佳木斯市
QUK,青岛西,山东省,青岛市
QET,青堆,辽宁省,大连市
QOU,启东,江苏省,南通市
QMQ,祁东,湖南省,衡阳市
QDU,千岛湖,浙江省,杭州市
QHK,青岛北,山东省,青岛市
QDK,青岛,山东省,青岛市
QCE,青川,四川省,广元市
QFW,青白江东,四川省,成都市
QGJ,秦安,甘肃省,天水市
PKW,彭州南,四川省,成都市
PRW,攀枝花,四川省,攀枝花市
PMW,彭州,四川省,成都市
PAE,盘州,贵州省,六盘水市
PZM,普者黑,云南省,文山壮族苗族自治州
PUK,平原东,山东省,德州市
PYK,平原,山东省,德州市
CDP,承德,河北省,承德市
CCP,承德东,河北省,承德市
SBP,上板城,河北省,承德市
OBP,上板城南,河北省,承德市
IVP,承德南,河北省,承德市
PBP,平泉北,河北省,承德市
PQP,平泉,河北省,承德市
PAZ,平南南,广西壮族自治区,贵港市
PEQ,普宁,广东省,揭阳市
POK,蓬莱市,山东省,蓬莱市
PDV,平遥古城,山西省,晋中市
PYV,平遥,山西省,晋中市
PYF,濮阳,河南省,濮阳市
PUT,皮口,辽宁省,大连市
PYG,鄱阳,江西省,上饶市
PJE,蒲江,四川省,成都市
PEN,平顶山,河南省,平顶山市
BFF,宝丰,河南省,平顶山市
PDF,平顶山西,河南省,平顶山市
PAK,平度,山东省,青岛市
PGW,普定,贵州省,安顺市
PCE,平昌,四川省,巴中市
PBE,平坝南,贵州省,安顺市
PBM,屏边,云南省,红河哈尼族彝族自治州
PUE,普安县,贵州省,六盘水市
PAN,普安,贵州省,黔西南布依族苗族自治州
NYE,纳雍,贵州省,毕节市
NFF,南阳,河南省,南阳市
NOF,南阳东,河南省,南阳市
NCQ,南雄,广东省,韶关市
NIE,泥溪,四川省,宜宾市
NOY,宁强南,陕西省,汉中市
YAY,阳平关,陕西省,汉中市
YZY,燕子砭,陕西省,汉中市
NNZ,南宁,广西壮族自治区,南宁市
NFZ,南宁东,广西壮族自治区,南宁市
NXZ,南宁西,广西壮族自治区,南宁市
NMO,尼木,西藏自治区,拉萨市
LLH,南陵,安徽省,芜湖市
NGT,奈林皋,辽宁省,朝阳市
NDQ,南江口,广东省,云浮市
FIW,南江,贵州省,贵阳市
NJW,内江,四川省,内江市
NKW,内江北,四川省,内江市
NAM,南华,云南省,楚雄彝族自治州
LYD,凌源,辽宁省,朝阳市
LDD,凌源东,辽宁省,朝阳市
LKT,牛河梁,辽宁省,朝阳市
NDN,南湖东,湖北省,武汉市
NFG,南丰,江西省,抚州市
NFT,南芬,辽宁省,本溪市
NUT,南芬北,辽宁省,本溪市
YIJ,银川,宁夏回族自治区,银川市
LNJ,灵武,宁夏回族自治区,银川市
NOJ,宁东,宁夏回族自治区,银川市
HFJ,河东机场,宁夏回族自治区,银川市
UWJ,灵武北,宁夏回族自治区,银川市
NDJ,宁东南,宁夏回族自治区,银川市
NCG,南昌,江西省,南昌市
NXG,南昌西,江西省,南昌市
NOG,南 昌,江西省,南昌市
NDG,南城,江西省,抚州市
NHA,牛车河,湖南省,常德市
NCW,南充,四川省,南充市
NCE,南充北,四川省,南充市
NBE,南部,四川省,南充市
MXA,梅州西,广东省,梅州市
MOQ,梅州,广东省,梅州市
MZM,蒙自,云南省,红河哈尼族彝族自治州
KIQ,暮云,湖南省,长沙市
MYO,门源,青海省,海北藏族自治州
MXJ,岷县,甘肃省,定西市
MSN,庙山,湖北省,武汉市
MSE,名山,四川省,雅安市
MOK,蒙山,山东省,临沂市
PIK,平邑,山东省,临沂市
MSW,眉山,四川省,眉山市
IUW,眉山东,四川省,眉山市
MIF,民权北,河南省,商丘市
MQF,民权,河南省,商丘市
MBS,闽清北,福建省,福州市
MBK,牟平,山东省,烟台市
MSR,玛纳斯,新疆维吾尔自治区,昌吉回族自治州
MLM,弥勒,云南省,红河哈尼族彝族自治州
MBJ,民乐,甘肃省,张掖市
MLR,马兰,新疆维吾尔自治区,巴音郭楞蒙古自治州
MJN,闵集,湖北省,孝感市
MDN,明港东,河南省,信阳市
MRB,帽儿山,黑龙江省,哈尔滨市
MUB,帽儿山西,黑龙江省,哈尔滨市
MHN,毛陈,湖北省,孝感市
OMH,马鞍山东,安徽省,马鞍山市
MAH,马鞍山,安徽省,马鞍山市
LEJ,临泽,甘肃省,张掖市
LDJ,临泽南,甘肃省,张掖市
LZE,阆中,四川省,南充市
UEK,临淄北,山东省,淄博市
LIZ,鹿寨,广西壮族自治区,柳州市
LSZ,鹿寨北,广西壮族自治区,柳州市
DHR,柳园,甘肃省,酒泉市
LNR,柳园南,甘肃省,酒泉市
LUK,临邑,山东省,德州市
III,临  沂北,山东省,临沂市
LEH,溧阳,江苏省,常州市
UXV,岚县,山西省,吕梁市
LXK,莱西,山东省,青岛市
KRW,洛湾三江,贵州省,贵阳市
UWK,岚山西,山东省,日照市
LSE,娄山关南,贵州省,遵义市
LDH,溧水,江苏省,南京市
JGG,井冈山,江西省,吉安市
LAG,龙市,江西省,吉安市
IVW,乐山,四川省,乐山市
LIU,涟水,江苏省,淮安市
UDV,灵石东,山西省,晋中市
LSV,灵石,山西省,晋中市
LBA,龙山北,湖南省,湘西土家族苗族自治州
LOU,临泉,安徽省,阜阳市
LGY,礼泉,陕西省,咸阳市
LQU,龙桥,安徽省,合肥市
LPE,梁平南,重庆市,重庆市
UQW,梁平,重庆市,重庆市
INJ,陇南,甘肃省,陇南市
UKQ,醴陵东,湖南省,株洲市
LMU,芦庙,安徽省,亳州市
COK,兰陵北,山东省,临沂市
KFW,龙里北,贵州省,黔南布依族苗族自治州
UKK,龙口市,山东省,烟台市
